,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,405,4,7,log2,0.8675429726996967,False
1,405,4,7,sqrt,0.8877654196157735,False
2,405,4,6,sqrt,0.8882709807886754,False
3,415,4,6,sqrt,0.8882709807886754,False
4,415,4,5,sqrt,0.8892821031344793,False
5,415,4,4,sqrt,0.8902932254802831,False
6,405,4,4,sqrt,0.8913043478260869,False
7,395,4,4,sqrt,0.8913043478260869,False
8,405,4,4,sqrt,0.8913043478260869,False
9,395,4,4,sqrt,0.8913043478260869,False
10,405,4,4,sqrt,0.8913043478260869,False
11,271,3,3,log2,0.8756319514661274,True
12,261,3,3,log2,0.8761375126390293,False
13,261,3,3,sqrt,0.8882709807886754,False
14,261,3,2,sqrt,0.890798786653185,False
15,251,3,2,sqrt,0.8913043478260869,False
16,251,4,2,sqrt,0.8913043478260869,False
17,251,4,1,sqrt,0.8928210313447927,False
18,261,4,1,sqrt,0.8928210313447927,False
19,271,4,1,sqrt,0.8928210313447927,False
20,281,4,1,sqrt,0.8928210313447927,False
21,281,5,1,sqrt,0.8943377148634984,False
22,291,5,1,sqrt,0.8928210313447927,False
23,769,3,9,log2,0.865520728008089,True
24,769,3,8,log2,0.8670374115267947,False
25,769,3,8,sqrt,0.8837209302325582,False
26,769,3,7,sqrt,0.8862487360970678,False
27,779,3,7,sqrt,0.8867542972699697,False
28,789,3,7,sqrt,0.8867542972699697,False
29,779,3,7,sqrt,0.8867542972699697,False
30,789,3,7,sqrt,0.8867542972699697,False
31,779,3,7,sqrt,0.8867542972699697,False
32,789,3,7,sqrt,0.8867542972699697,False
33,779,3,7,sqrt,0.8867542972699697,False
34,789,3,7,sqrt,0.8867542972699697,False
35,117,6,9,sqrt,0.8816986855409504,True
36,117,6,9,log2,0.8660262891809909,False
37,117,6,9,sqrt,0.8816986855409504,False
38,117,6,8,sqrt,0.8837209302325582,False
39,117,6,7,sqrt,0.8872598584428716,False
40,107,6,7,sqrt,0.8877654196157735,False
41,107,7,7,sqrt,0.8877654196157735,False
42,107,8,7,sqrt,0.8877654196157735,False
43,107,9,7,sqrt,0.8877654196157735,False
44,107,10,7,sqrt,0.8877654196157735,False
45,107,9,7,sqrt,0.8877654196157735,False
46,107,10,7,sqrt,0.8877654196157735,False
47,107,9,7,sqrt,0.8877654196157735,False
48,438,3,5,log2,0.8725985844287159,True
49,438,4,5,log2,0.8725985844287159,False
50,438,4,5,sqrt,0.8897876643073812,False
51,448,4,5,sqrt,0.890798786653185,False
