,Time,hpm5
0,0,221.5
1,5,253.7
2,10,246.6
3,15,246.9
4,20,246.7
5,25,242.7
6,30,249.5
7,35,247.5
8,40,246.1
9,45,243.5
10,50,246.1
11,55,242.8
12,60,238.8
13,65,246.0
14,70,248.3
15,75,249.1
16,80,244.8
17,85,251.4
18,90,235.0
19,95,245.5
20,100,247.3
21,105,253.3
22,110,245.2
23,115,249.7
24,120,235.2
25,125,245.2
26,130,249.0
27,135,246.9
28,140,243.5
29,145,239.5
30,150,249.5
31,155,246.5
32,160,248.6
33,165,247.8
34,170,240.8
35,175,244.3
36,180,243.0
37,185,242.0
38,190,249.1
39,195,247.8
40,200,245.4
41,205,249.3
42,210,243.9
43,215,247.3
44,220,245.6
45,225,244.4
46,230,243.6
47,235,247.9
48,240,241.8
49,245,248.7
50,250,248.0
51,255,240.8
52,260,249.0
53,265,243.9
54,270,240.4
55,275,244.9
56,280,244.5
57,285,242.6
58,290,249.8
59,295,249.5
60,300,248.0
61,305,235.2
62,310,253.1
63,315,248.0
64,320,248.9
65,325,257.8
66,330,244.6
67,335,245.3
68,340,245.6
69,345,245.5
70,350,244.0
71,355,257.5
72,360,249.8
73,365,234.4
74,370,247.5
75,375,245.3
76,380,246.1
77,385,242.4
78,390,248.2
79,395,251.7
80,400,250.1
81,405,238.1
82,410,248.2
83,415,256.3
84,420,248.3
85,425,249.0
86,430,244.9
87,435,249.2
88,440,244.7
89,445,241.6
90,450,248.6
91,455,252.0
92,460,247.7
93,465,245.3
94,470,244.2
95,475,251.1
96,480,247.6
97,485,247.5
98,490,248.3
99,495,247.7
100,500,253.1
101,505,235.5
102,510,251.7
103,515,242.5
104,520,250.8
105,525,243.8
106,530,249.7
107,535,248.2
108,540,240.9
109,545,248.3
110,550,248.6
111,555,251.6
112,560,253.0
113,565,247.7
114,570,245.4
115,575,249.1
116,580,244.2
117,585,246.9
118,590,245.6
119,595,255.4
120,600,247.6
121,605,231.7
122,610,233.1
123,615,237.3
124,620,232.3
125,625,242.0
126,630,241.1
127,635,244.4
128,640,240.8
129,645,246.3
130,650,240.1
131,655,244.8
132,660,236.1
133,665,242.2
134,670,245.2
135,675,241.0
136,680,248.0
137,685,242.7
138,690,239.7
139,695,244.8
140,700,243.6
141,705,240.1
142,710,243.2
143,715,243.8
144,720,239.0
145,725,241.2
146,730,240.5
147,735,239.7
148,740,243.1
149,745,241.2
150,750,243.8
151,755,234.0
152,760,244.6
153,765,241.2
154,770,248.7
155,775,241.0
156,780,243.2
157,785,256.8
158,790,245.9
159,795,257.5
160,800,237.5
161,805,258.1
162,810,245.5
163,815,256.8
164,820,240.2
165,825,256.5
166,830,230.0
167,835,254.9
168,840,241.7
169,845,249.0
170,850,252.4
171,855,253.0
172,860,248.0
173,865,252.2
174,870,248.2
175,875,252.6
176,880,241.0
177,885,246.2
178,890,256.8
179,895,245.0
180,900,258.7
181,905,247.2
182,910,245.3
183,915,247.5
184,920,256.2
185,925,245.7
186,930,243.4
187,935,256.5
188,940,247.3
189,945,256.4
190,950,0
191,955,250.9
192,960,242.5
193,965,252.6
194,970,237.0
195,975,253.3
196,980,253.4
197,985,252.9
198,990,247.3
199,995,254.4
200,1000,242.6
201,1005,257.2
202,1010,242.6
203,1015,241.8
204,1020,259.0
205,1025,243.2
206,1030,256.2
207,1035,247.9
208,1040,257.2
209,1045,247.5
210,1050,258.2
211,1055,240.1
212,1060,242.4
213,1065,257.3
214,1070,244.5
215,1075,252.7
216,1080,249.0
217,1085,254.0
218,1090,251.9
219,1095,250.5
220,1100,234.7
221,1105,258.5
222,1110,246.4
223,1115,257.0
224,1120,240.1
225,1125,257.6
226,1130,244.2
227,1135,258.8
228,1140,245.6
229,1145,244.8
230,1150,256.7
231,1155,247.9
232,1160,256.1
233,1165,243.0
234,1170,258.3
235,1175,241.5
236,1180,253.9
237,1185,241.4
238,1190,216.5
239,1195,225.3
240,1200,226.6
241,1205,236.0
242,1210,230.7
243,1215,229.0
244,1220,236.2
245,1225,229.5
246,1230,235.4
247,1235,232.7
248,1240,229.0
249,1245,236.8
250,1250,232.2
251,1255,232.6
252,1260,234.4
253,1265,231.3
254,1270,234.6
255,1275,234.3
256,1280,229.3
257,1285,234.3
258,1290,227.8
259,1295,236.0
260,1300,241.9
261,1305,237.5
262,1310,243.8
263,1315,243.1
