,Time,hpm5
0,0,187.9
1,5,244.5
2,10,279.8
3,15,288.8
4,20,278.8
5,25,290.2
6,30,276.6
7,35,286.6
8,40,280.7
9,45,273.0
10,50,289.5
11,55,275.1
12,60,277.3
13,65,287.1
14,70,276.2
15,75,281.6
16,80,288.5
17,85,278.7
18,90,289.8
19,95,278.4
20,100,289.7
21,105,268.6
22,110,289.7
23,115,272.6
24,120,289.3
25,125,273.1
26,130,289.6
27,135,273.7
28,140,285.1
29,145,286.5
30,150,276.3
31,155,277.0
32,160,289.9
33,165,280.1
34,170,290.1
35,175,280.9
36,180,283.3
37,185,285.0
38,190,273.5
39,195,289.3
40,200,279.6
41,205,275.2
42,210,290.6
43,215,274.4
44,220,291.1
45,225,273.7
46,230,282.2
47,235,284.6
48,240,275.9
49,245,290.0
50,250,281.2
51,255,276.2
52,260,291.1
53,265,272.5
54,270,291.8
55,275,276.1
56,280,286.5
57,285,282.0
58,290,283.7
59,295,287.6
60,300,277.8
61,305,275.2
62,310,290.9
63,315,277.2
64,320,291.0
65,325,274.3
66,330,293.3
67,335,280.2
68,340,285.6
69,345,280.6
70,350,286.4
71,355,275.4
72,360,290.3
73,365,280.5
74,370,293.2
75,375,277.4
76,380,292.2
77,385,273.8
78,390,292.7
79,395,275.5
80,400,293.6
81,405,280.6
82,410,278.2
83,415,291.8
84,420,275.3
85,425,291.9
86,430,278.5
87,435,291.8
88,440,273.3
89,445,287.4
90,450,284.0
91,455,287.0
92,460,286.9
93,465,292.8
94,470,270.6
95,475,291.5
96,480,276.1
97,485,292.8
98,490,280.0
99,495,292.4
100,500,280.1
101,505,292.0
102,510,279.5
103,515,291.8
104,520,278.6
105,525,294.0
106,530,277.1
107,535,264.5
108,540,263.2
109,545,253.4
110,550,259.6
111,555,265.5
112,560,260.5
113,565,267.6
114,570,264.9
115,575,261.2
116,580,263.1
117,585,262.6
118,590,263.8
119,595,258.8
120,600,263.5
121,605,265.1
122,610,263.8
123,615,262.8
124,620,265.9
125,625,263.5
126,630,265.0
127,635,280.7
128,640,277.3
129,645,274.4
130,650,284.3
131,655,283.5
132,660,277.5
133,665,273.7
134,670,274.8
135,675,284.7
136,680,284.4
137,685,284.3
138,690,292.9
139,695,286.7
140,700,284.2
141,705,282.7
142,710,285.3
143,715,288.7
144,720,277.7
145,725,290.0
146,730,280.1
147,735,277.2
148,740,285.1
149,745,290.3
150,750,283.7
151,755,280.6
152,760,286.3
153,765,282.2
154,770,288.6
155,775,289.6
156,780,281.0
157,785,286.1
158,790,285.9
159,795,290.1
160,800,285.9
161,805,281.7
162,810,281.0
163,815,282.0
164,820,284.2
165,825,291.5
166,830,280.8
167,835,285.0
168,840,286.9
169,845,293.2
170,850,271.5
171,855,294.8
172,860,281.4
173,865,287.5
174,870,284.3
175,875,291.0
176,880,286.6
177,885,286.9
178,890,286.0
179,895,281.4
180,900,283.4
181,905,294.9
182,910,284.6
183,915,287.4
184,920,284.8
185,925,294.0
186,930,283.0
187,935,280.5
188,940,291.4
189,945,279.5
190,950,280.7
191,955,294.2
192,960,284.7
193,965,285.6
194,970,282.4
195,975,294.3
196,980,272.3
197,985,292.6
198,990,281.2
199,995,284.6
200,1000,287.9
201,1005,296.3
202,1010,285.7
203,1015,285.0
204,1020,285.3
205,1025,285.5
206,1030,285.7
207,1035,290.2
208,1040,289.4
209,1045,287.7
210,1050,287.8
211,1055,289.4
212,1060,285.8
213,1065,280.6
214,1070,284.1
215,1075,276.8
216,1080,278.9
217,1085,268.4
218,1090,271.2
219,1095,282.1
220,1100,281.2
221,1105,282.2
222,1110,279.2
223,1115,279.4
224,1120,281.7
225,1125,284.0
226,1130,276.6
227,1135,279.3
228,1140,280.5
229,1145,281.0
230,1150,274.0
231,1155,280.0
232,1160,283.4
233,1165,274.3
234,1170,283.6
235,1175,280.0
236,1180,272.3
237,1185,282.4
238,1190,276.1
239,1195,282.3
240,1200,279.1
241,1205,283.3
242,1210,277.2
243,1215,283.0
244,1220,277.0
245,1225,280.0
246,1230,279.9
247,1235,282.6
248,1240,274.7
249,1245,286.6
250,1250,285.4
251,1255,281.4
252,1260,285.2
253,1265,285.8
254,1270,284.6
255,1275,284.0
256,1280,277.1
257,1285,275.9
258,1290,272.1
259,1295,286.2
260,1300,283.5
261,1305,283.5
262,1310,286.4
263,1315,282.3
264,1320,282.5
265,1325,281.7
266,1330,278.0
267,1335,282.9
268,1340,283.3
269,1345,282.8
270,1350,284.9
271,1355,286.2
272,1360,286.9
273,1365,284.4
274,1370,288.2
275,1375,286.2
276,1380,283.2
277,1385,286.1
278,1390,284.2
279,1395,278.2
280,1400,288.5
281,1405,283.9
282,1410,287.6
283,1415,283.1
284,1420,283.1
285,1425,286.3
286,1430,279.3
287,1435,282.3
288,1440,282.9
289,1445,288.0
290,1450,286.0
291,1455,286.3
292,1460,281.6
293,1465,277.6
294,1470,286.5
295,1475,286.4
296,1480,282.2
297,1485,282.7
298,1490,285.0
299,1495,288.0
300,1500,289.1
301,1505,287.2
302,1510,283.2
303,1515,285.4
304,1520,284.5
305,1525,275.6
306,1530,287.9
307,1535,283.7
308,1540,284.7
309,1545,288.3
310,1550,283.6
311,1555,287.5
312,1560,274.6
313,1565,286.9
314,1570,283.1
315,1575,281.7
316,1580,282.0
317,1585,282.8
318,1590,280.9
319,1595,280.7
320,1600,275.5
321,1605,274.8
322,1610,281.4
323,1615,272.4
324,1620,276.8
325,1625,275.4
326,1630,277.0
327,1635,281.0
328,1640,272.3
329,1645,274.9
330,1650,272.2
331,1655,282.6
332,1660,276.1
333,1665,276.7
334,1670,282.0
335,1675,278.0
336,1680,281.5
337,1685,277.3
338,1690,278.0
339,1695,278.0
340,1700,272.8
341,1705,275.6
342,1710,271.9
343,1715,283.1
344,1720,286.7
345,1725,284.0
346,1730,286.9
347,1735,286.6
348,1740,283.1
349,1745,285.6
350,1750,276.1
351,1755,284.0
352,1760,283.9
353,1765,286.1
354,1770,287.3
355,1775,286.9
356,1780,287.1
357,1785,278.8
358,1790,283.3
359,1795,285.6
360,1800,285.8
361,1805,282.5
362,1810,285.0
363,1815,281.1
364,1820,289.1
365,1825,287.1
366,1830,280.9
367,1835,284.5
368,1840,284.1
369,1845,282.8
370,1850,286.7
371,1855,287.0
372,1860,284.5
373,1865,287.4
374,1870,289.1
375,1875,287.1
376,1880,285.4
377,1885,287.2
378,1890,282.5
