,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,857,10,5,sqrt,0.8852376137512639,False
1,857,10,4,sqrt,0.8887765419615774,False
2,857,10,3,sqrt,0.8897876643073812,False
3,867,10,3,sqrt,0.8902932254802831,False
4,877,10,3,sqrt,0.8902932254802831,False
5,887,10,3,sqrt,0.8902932254802831,False
6,897,10,3,sqrt,0.8902932254802831,False
7,897,10,2,sqrt,0.890798786653185,False
8,897,9,2,sqrt,0.8913043478260869,False
9,897,8,2,sqrt,0.8933265925176946,False
10,907,8,2,sqrt,0.8933265925176946,False
11,103,6,3,sqrt,0.8867542972699697,True
12,103,6,3,log2,0.872093023255814,False
13,103,6,3,sqrt,0.8867542972699697,False
14,103,6,2,sqrt,0.890798786653185,False
15,103,7,2,sqrt,0.890798786653185,False
16,93,7,2,sqrt,0.890798786653185,False
17,103,7,2,sqrt,0.890798786653185,False
18,93,7,2,sqrt,0.890798786653185,False
19,103,7,2,sqrt,0.890798786653185,False
20,93,7,2,sqrt,0.890798786653185,False
21,103,7,2,sqrt,0.890798786653185,False
22,93,7,2,sqrt,0.890798786653185,False
23,619,3,4,log2,0.8736097067745198,True
24,619,3,3,log2,0.8766430738119313,False
25,619,3,3,sqrt,0.8902932254802831,False
26,629,3,3,sqrt,0.890798786653185,False
27,639,3,3,sqrt,0.890798786653185,False
28,629,3,3,sqrt,0.890798786653185,False
29,639,3,3,sqrt,0.890798786653185,False
30,629,3,3,sqrt,0.890798786653185,False
31,639,3,3,sqrt,0.890798786653185,False
32,629,3,3,sqrt,0.890798786653185,False
33,639,3,3,sqrt,0.890798786653185,False
34,629,3,3,sqrt,0.890798786653185,False
35,262,2,8,sqrt,0.8832153690596563,True
36,262,2,8,log2,0.8670374115267947,False
37,262,2,8,sqrt,0.8832153690596563,False
38,262,2,7,sqrt,0.8902932254802831,False
39,252,2,7,sqrt,0.8902932254802831,False
40,262,2,7,sqrt,0.8902932254802831,False
41,252,2,7,sqrt,0.8902932254802831,False
42,262,2,7,sqrt,0.8902932254802831,False
43,252,2,7,sqrt,0.8902932254802831,False
44,262,2,7,sqrt,0.8902932254802831,False
45,252,2,7,sqrt,0.8902932254802831,False
46,262,2,7,sqrt,0.8902932254802831,False
47,252,2,7,sqrt,0.8902932254802831,False
48,504,5,6,sqrt,0.8877654196157735,True
