,Time,hpm8
0,0,172.6
1,5,244.8
2,10,272.1
3,15,237.1
4,20,217.7
5,25,218.3
6,30,215.8
7,35,217.7
8,40,216.4
9,45,219.1
10,50,218.1
11,55,216.2
12,60,218.1
13,65,216.7
14,70,216.8
15,75,217.4
16,80,214.7
17,85,218.6
18,90,217.7
19,95,216.3
20,100,218.1
21,105,216.7
22,110,217.6
23,115,217.8
24,120,215.6
25,125,217.7
26,130,216.5
27,135,219.5
28,140,218.7
29,145,217.0
30,150,217.9
31,155,215.5
32,160,218.5
33,165,218.5
34,170,214.7
35,175,217.6
36,180,217.5
37,185,216.4
38,190,218.2
39,195,216.4
40,200,217.6
41,205,217.5
42,210,217.6
43,215,219.4
44,220,218.2
45,225,220.3
46,230,218.4
47,235,219.2
48,240,217.0
49,245,218.4
50,250,217.8
51,255,216.5
52,260,218.3
53,265,216.6
54,270,218.2
55,275,216.4
56,280,218.0
57,285,217.2
58,290,218.6
59,295,218.0
60,300,218.4
61,305,220.9
62,310,216.6
63,315,218.4
64,320,216.9
65,325,219.6
66,330,218.4
67,335,219.2
68,340,217.6
69,345,220.7
70,350,220.5
71,355,217.6
72,360,220.4
73,365,218.8
74,370,219.9
75,375,216.5
76,380,218.0
77,385,217.3
78,390,218.8
79,395,216.8
80,400,218.4
81,405,217.0
82,410,218.6
83,415,218.5
84,420,216.5
85,425,218.9
86,430,217.5
87,435,221.3
88,440,219.2
89,445,218.5
90,450,217.6
91,455,218.0
92,460,218.4
93,465,217.2
94,470,218.7
95,475,217.3
96,480,219.3
97,485,216.2
98,490,218.1
99,495,216.8
100,500,219.3
101,505,217.8
102,510,216.9
103,515,218.3
104,520,216.6
105,525,220.2
106,530,217.2
107,535,218.8
108,540,218.3
109,545,218.0
110,550,218.3
111,555,218.7
112,560,218.8
113,565,217.3
114,570,219.0
115,575,216.8
116,580,218.8
117,585,217.7
118,590,219.3
119,595,218.3
120,600,217.9
121,605,218.8
122,610,217.7
123,615,220.9
124,620,218.3
125,625,219.4
126,630,218.1
127,635,220.4
128,640,217.8
129,645,219.0
130,650,219.5
131,655,217.4
132,660,219.7
133,665,218.6
134,670,219.2
135,675,217.7
136,680,219.0
137,685,219.9
138,690,217.1
139,695,219.4
140,700,218.0
141,705,219.7
142,710,217.7
143,715,219.0
144,720,217.9
145,725,222.0
146,730,218.3
147,735,220.7
148,740,217.9
149,745,220.2
150,750,219.3
151,755,218.2
152,760,219.1
153,765,218.2
154,770,219.0
155,775,218.9
156,780,218.1
157,785,219.8
158,790,218.0
159,795,219.6
160,800,217.2
161,805,219.4
162,810,217.0
163,815,219.7
164,820,218.0
165,825,220.0
166,830,219.5
167,835,218.1
168,840,219.2
169,845,217.6
170,850,219.6
171,855,217.9
172,860,219.4
173,865,218.1
174,870,219.4
175,875,218.8
176,880,217.8
177,885,219.8
178,890,218.7
179,895,219.6
180,900,217.3
181,905,219.3
182,910,218.5
183,915,221.2
184,920,219.3
185,925,220.1
186,930,219.4
187,935,217.8
188,940,219.3
189,945,218.2
190,950,220.0
191,955,218.4
192,960,219.5
193,965,218.5
194,970,218.9
195,975,218.6
196,980,217.7
197,985,218.4
198,990,218.4
199,995,219.1
200,1000,219.5
201,1005,219.5
202,1010,219.8
203,1015,215.5
204,1020,218.7
205,1025,218.5
206,1030,219.0
207,1035,219.5
208,1040,219.7
209,1045,219.6
210,1050,214.2
211,1055,219.2
212,1060,219.4
213,1065,218.7
214,1070,219.4
215,1075,219.8
216,1080,219.7
217,1085,216.4
218,1090,219.6
219,1095,219.6
220,1100,220.4
221,1105,220.6
222,1110,220.6
223,1115,220.7
224,1120,214.9
225,1125,218.5
226,1130,218.6
227,1135,218.9
228,1140,218.9
229,1145,219.2
230,1150,219.1
231,1155,219.3
232,1160,213.6
233,1165,218.6
234,1170,218.6
235,1175,219.0
236,1180,219.5
237,1185,220.0
238,1190,219.5
239,1195,216.1
240,1200,218.5
241,1205,219.0
242,1210,218.9
243,1215,219.3
244,1220,219.5
245,1225,219.8
246,1230,216.2
247,1235,218.8
248,1240,218.9
249,1245,219.1
250,1250,219.3
251,1255,220.1
252,1260,219.8
253,1265,220.3
254,1270,213.7
255,1275,218.9
256,1280,219.1
257,1285,219.5
258,1290,219.6
259,1295,220.0
260,1300,218.1
261,1305,216.1
262,1310,219.4
263,1315,219.0
264,1320,219.5
265,1325,219.9
266,1330,220.4
267,1335,221.1
268,1340,214.7
269,1345,218.8
270,1350,219.3
271,1355,219.5
272,1360,220.2
273,1365,220.4
