,Time,hpm8
0,0,162.2
1,5,213.4
2,10,273.1
3,15,259.3
4,20,221.3
5,25,221.2
6,30,217.8
7,35,219.7
8,40,219.8
9,45,219.6
10,50,219.1
11,55,216.9
12,60,219.3
13,65,219.7
14,70,219.5
15,75,219.3
16,80,216.8
17,85,220.0
18,90,220.1
19,95,219.4
20,100,218.8
21,105,218.6
22,110,219.8
23,115,219.9
24,120,219.6
25,125,217.7
26,130,220.8
27,135,220.3
28,140,220.0
29,145,219.5
30,150,218.2
31,155,220.1
32,160,221.1
33,165,220.9
34,170,220.3
35,175,218.3
36,180,219.8
37,185,220.0
38,190,219.9
39,195,219.4
40,200,218.9
41,205,220.7
42,210,221.1
43,215,220.1
44,220,219.4
45,225,220.0
46,230,220.7
47,235,220.3
48,240,220.1
49,245,218.0
50,250,221.8
51,255,221.8
52,260,221.2
53,265,220.6
54,270,219.6
55,275,221.3
56,280,220.8
57,285,221.1
58,290,220.7
59,295,219.0
60,300,221.2
61,305,221.3
62,310,220.9
63,315,218.3
64,320,221.3
65,325,222.0
66,330,221.3
67,335,220.9
68,340,217.1
69,345,221.2
70,350,220.4
71,355,220.0
72,360,219.2
73,365,220.7
74,370,221.7
75,375,221.6
76,380,221.3
77,385,219.9
78,390,221.4
79,395,221.2
80,400,221.0
81,405,219.5
82,410,221.2
83,415,221.6
84,420,221.1
85,425,221.1
86,430,219.9
87,435,221.8
88,440,222.3
89,445,221.4
90,450,220.9
91,455,220.4
92,460,222.1
93,465,221.9
94,470,221.3
95,475,0
96,480,0
97,485,219.0
98,490,222.1
99,495,220.9
100,500,221.1
101,505,221.3
102,510,221.3
103,515,220.0
104,520,222.4
105,525,221.9
106,530,222.0
107,535,221.3
108,540,221.1
109,545,222.6
110,550,222.6
111,555,222.2
112,560,219.4
113,565,221.9
114,570,221.8
115,575,221.7
116,580,220.8
117,585,221.7
118,590,222.9
119,595,222.4
120,600,221.5
121,605,219.9
122,610,222.9
123,615,223.1
124,620,222.8
125,625,220.1
126,630,222.5
127,635,222.8
128,640,222.5
129,645,222.3
130,650,221.7
131,655,221.7
132,660,221.3
133,665,221.4
134,670,219.8
135,675,221.8
136,680,221.7
137,685,221.6
138,690,220.3
139,695,222.1
140,700,221.9
141,705,221.8
142,710,219.8
143,715,222.1
144,720,221.9
145,725,221.9
146,730,222.0
147,735,220.5
148,740,222.5
149,745,221.7
150,750,221.7
151,755,219.5
152,760,222.7
153,765,222.5
154,770,222.0
155,775,221.0
156,780,223.4
157,785,222.7
158,790,222.4
159,795,221.8
160,800,220.7
161,805,221.2
162,810,221.0
163,815,219.5
164,820,222.2
165,825,222.2
166,830,222.0
167,835,221.3
168,840,220.8
169,845,223.5
170,850,223.1
171,855,222.5
172,860,220.6
173,865,221.6
174,870,222.0
175,875,221.7
176,880,219.6
177,885,221.4
178,890,221.6
179,895,221.6
180,900,220.3
181,905,221.6
182,910,222.9
183,915,222.3
184,920,221.3
185,925,223.1
186,930,223.1
187,935,222.4
188,940,220.9
189,945,221.7
190,950,221.7
191,955,221.0
192,960,220.4
193,965,220.9
194,970,222.2
195,975,222.1
196,980,221.8
197,985,220.0
198,990,222.2
199,995,221.9
200,1000,221.5
201,1005,220.1
202,1010,221.9
203,1015,222.1
204,1020,221.7
205,1025,219.3
206,1030,222.5
207,1035,222.0
208,1040,221.9
209,1045,221.5
210,1050,221.1
211,1055,222.8
212,1060,222.2
213,1065,221.7
214,1070,220.8
215,1075,222.5
216,1080,222.3
217,1085,222.0
218,1090,220.9
219,1095,222.1
220,1100,221.6
221,1105,221.1
222,1110,219.4
223,1115,221.9
224,1120,222.0
225,1125,221.8
226,1130,221.6
227,1135,221.6
228,1140,222.3
229,1145,222.1
230,1150,221.3
231,1155,221.6
232,1160,222.1
233,1165,221.7
234,1170,221.7
235,1175,220.5
236,1180,222.1
237,1185,221.9
238,1190,221.6
239,1195,219.0
240,1200,222.4
241,1205,222.5
242,1210,223.0
243,1215,221.1
244,1220,222.8
245,1225,222.6
246,1230,222.6
247,1235,220.1
248,1240,221.8
249,1245,221.7
250,1250,221.7
251,1255,220.6
252,1260,223.9
253,1265,223.3
254,1270,223.3
255,1275,221.8
256,1280,221.4
257,1285,222.4
258,1290,222.3
259,1295,222.0
260,1300,221.2
261,1305,224.0
262,1310,223.1
263,1315,222.6
264,1320,220.1
265,1325,222.3
266,1330,221.5
267,1335,221.6
268,1340,220.5
269,1345,221.1
270,1350,222.2
271,1355,222.1
272,1360,220.6
273,1365,223.3
274,1370,224.0
275,1375,223.5
276,1380,222.5
277,1385,220.0
278,1390,222.0
279,1395,221.8
280,1400,221.4
281,1405,220.0
282,1410,222.2
283,1415,222.1
284,1420,222.4
285,1425,219.7
286,1430,222.8
287,1435,222.4
288,1440,222.5
289,1445,219.7
290,1450,223.4
291,1455,222.3
292,1460,221.9
293,1465,223.0
294,1470,221.6
295,1475,222.9
296,1480,221.9
297,1485,221.6
298,1490,220.2
299,1495,222.3
300,1500,222.1
301,1505,221.8
302,1510,222.0
303,1515,223.4
304,1520,222.4
305,1525,222.4
306,1530,219.6
307,1535,221.2
308,1540,221.1
309,1545,221.2
310,1550,219.2
311,1555,222.6
312,1560,222.6
313,1565,222.6
314,1570,222.3
315,1575,221.7
316,1580,219.6
317,1585,220.5
318,1590,222.1
319,1595,222.2
320,1600,222.1
321,1605,221.9
322,1610,221.7
323,1615,218.8
324,1620,222.0
325,1625,222.7
326,1630,222.6
327,1635,222.4
328,1640,221.8
329,1645,220.9
330,1650,221.2
331,1655,222.4
332,1660,222.4
333,1665,222.2
334,1670,221.8
335,1675,222.0
336,1680,218.4
337,1685,222.3
338,1690,222.2
339,1695,222.7
340,1700,222.8
341,1705,222.2
342,1710,221.8
343,1715,219.9
344,1720,222.6
345,1725,223.0
346,1730,222.6
347,1735,222.4
348,1740,221.8
349,1745,218.9
350,1750,222.5
351,1755,223.0
352,1760,222.4
353,1765,222.5
354,1770,222.3
355,1775,219.1
356,1780,223.3
357,1785,223.6
358,1790,223.8
359,1795,223.6
360,1800,222.9
361,1805,223.1
362,1810,217.1
363,1815,221.3
364,1820,221.7
365,1825,221.7
366,1830,221.5
367,1835,221.8
368,1840,218.3
369,1845,221.5
370,1850,222.1
371,1855,222.2
372,1860,222.2
373,1865,222.3
374,1870,222.2
375,1875,217.9
376,1880,221.5
377,1885,222.3
378,1890,222.0
379,1895,221.9
380,1900,221.9
381,1905,222.1
382,1910,220.0
383,1915,222.7
384,1920,222.6
385,1925,222.6
386,1930,222.2
387,1935,221.9
388,1940,218.0
389,1945,221.5
390,1950,222.6
391,1955,222.5
392,1960,222.2
393,1965,221.9
394,1970,221.9
395,1975,219.4
396,1980,221.6
397,1985,221.9
398,1990,222.1
399,1995,221.9
400,2000,221.9
401,2005,221.3
402,2010,220.2
403,2015,222.9
404,2020,222.9
405,2025,222.6
406,2030,222.5
407,2035,221.8
408,2040,219.8
409,2045,222.8
410,2050,222.8
411,2055,222.9
412,2060,222.5
413,2065,222.4
414,2070,222.9
415,2075,218.4
416,2080,221.6
417,2085,221.9
418,2090,222.0
419,2095,221.8
420,2100,221.8
421,2105,219.5
422,2110,221.8
423,2115,222.5
424,2120,222.9
425,2125,222.6
426,2130,222.0
427,2135,222.6
428,2140,218.7
429,2145,223.2
430,2150,223.5
431,2155,222.8
432,2160,222.5
433,2165,222.5
434,2170,220.0
435,2175,221.7
436,2180,223.2
437,2185,222.6
438,2190,222.1
439,2195,221.9
440,2200,221.6
441,2205,218.9
442,2210,222.4
443,2215,222.8
444,2220,222.1
445,2225,222.2
446,2230,222.1
447,2235,220.9
448,2240,219.2
449,2245,222.1
450,2250,222.2
451,2255,222.0
452,2260,221.7
453,2265,222.2
454,2270,219.6
455,2275,222.6
456,2280,222.2
457,2285,222.9
458,2290,222.8
459,2295,222.6
460,2300,221.8
461,2305,220.0
462,2310,222.9
463,2315,222.9
464,2320,222.9
465,2325,222.7
466,2330,222.5
467,2335,219.0
468,2340,220.4
469,2345,222.1
470,2350,222.6
471,2355,221.5
472,2360,221.7
473,2365,221.5
474,2370,219.1
475,2375,223.0
476,2380,222.7
477,2385,222.6
478,2390,222.2
479,2395,221.8
480,2400,220.0
481,2405,221.5
482,2410,222.0
483,2415,222.5
484,2420,222.8
485,2425,221.8
486,2430,221.9
487,2435,217.8
488,2440,221.6
489,2445,222.2
490,2450,222.2
491,2455,221.9
492,2460,221.9
493,2465,218.1
494,2470,222.1
495,2475,222.4
496,2480,222.9
497,2485,222.6
498,2490,222.8
499,2495,222.7
500,2500,218.5
501,2505,221.8
502,2510,222.1
503,2515,222.2
504,2520,222.0
505,2525,221.6
506,2530,221.7
507,2535,218.0
508,2540,222.3
509,2545,222.5
510,2550,222.6
511,2555,222.5
512,2560,222.3
513,2565,220.9
514,2570,220.8
515,2575,223.9
516,2580,222.9
517,2585,222.4
518,2590,222.5
519,2595,222.5
520,2600,219.8
521,2605,221.6
522,2610,222.3
523,2615,221.6
524,2620,221.5
525,2625,221.3
526,2630,221.7
527,2635,219.0
528,2640,221.6
529,2645,222.5
530,2650,222.2
531,2655,221.9
532,2660,221.7
533,2665,220.3
534,2670,219.4
535,2675,222.6
536,2680,222.3
537,2685,222.3
538,2690,222.0
539,2695,221.6
540,2700,218.0
541,2705,222.0
542,2710,221.8
543,2715,222.0
