,Time,hpm8
0,0,179.7
1,5,273.5
2,10,271.1
3,15,222.6
4,20,222.1
5,25,223.8
6,30,220.9
7,35,221.8
8,40,220.9
9,45,222.6
10,50,219.7
11,55,221.6
12,60,221.7
13,65,223.8
14,70,222.1
15,75,220.3
16,80,222.7
17,85,221.5
18,90,221.8
19,95,220.6
20,100,222.1
21,105,219.7
22,110,222.4
23,115,220.1
24,120,221.8
25,125,220.9
26,130,224.5
27,135,220.8
28,140,221.3
29,145,220.5
30,150,221.9
31,155,219.8
32,160,223.0
33,165,220.8
34,170,222.7
35,175,220.9
36,180,221.8
37,185,221.4
38,190,220.3
39,195,222.8
40,200,220.7
41,205,222.5
42,210,219.5
43,215,221.6
44,220,219.5
45,225,222.3
46,230,221.4
47,235,219.8
48,240,222.4
49,245,220.3
50,250,221.6
51,255,219.5
52,260,222.0
53,265,218.5
54,270,221.8
55,275,219.7
56,280,221.3
57,285,220.8
58,290,222.2
59,295,221.5
60,300,219.7
61,305,221.8
62,310,220.0
63,315,222.0
64,320,219.4
65,325,222.3
66,330,221.1
67,335,221.4
68,340,222.2
69,345,219.4
70,350,223.1
71,355,220.3
72,360,221.3
73,365,221.8
74,370,219.2
75,375,222.8
76,380,221.1
77,385,223.6
78,390,221.2
79,395,222.7
80,400,221.7
81,405,222.0
82,410,224.2
83,415,221.7
84,420,222.1
85,425,222.3
86,430,220.3
87,435,222.3
88,440,219.3
89,445,222.2
90,450,222.6
91,455,218.6
92,460,222.1
93,465,221.3
94,470,220.8
95,475,223.4
96,480,220.6
97,485,224.1
98,490,222.0
99,495,222.3
100,500,222.8
101,505,221.0
102,510,223.5
103,515,221.7
104,520,222.9
105,525,221.0
106,530,223.1
107,535,223.0
108,540,220.4
109,545,222.5
110,550,221.1
111,555,223.8
112,560,223.5
113,565,220.6
114,570,223.4
115,575,221.5
116,580,223.7
117,585,220.9
118,590,223.1
119,595,222.3
120,600,220.6
121,605,224.0
122,610,221.3
123,615,223.5
124,620,222.7
125,625,221.8
126,630,223.1
127,635,221.0
128,640,222.4
129,645,223.0
130,650,219.9
131,655,223.6
132,660,221.9
133,665,222.2
134,670,223.6
135,675,221.8
136,680,223.5
137,685,221.4
138,690,222.6
139,695,222.7
140,700,221.7
141,705,222.7
142,710,223.5
143,715,221.8
144,720,222.5
145,725,222.6
146,730,223.9
147,735,221.4
148,740,223.6
149,745,220.9
150,750,221.9
151,755,223.0
152,760,220.8
153,765,225.8
154,770,222.4
155,775,224.7
156,780,222.8
157,785,223.4
158,790,223.3
159,795,222.2
160,800,223.7
161,805,221.9
162,810,223.0
163,815,223.6
164,820,220.7
165,825,223.2
166,830,221.6
167,835,222.5
168,840,223.3
169,845,220.7
170,850,223.8
171,855,223.3
172,860,221.1
173,865,224.2
174,870,222.1
175,875,224.2
176,880,222.3
177,885,222.7
178,890,223.0
179,895,221.6
180,900,223.7
181,905,221.9
182,910,223.5
183,915,223.8
184,920,221.7
185,925,223.2
186,930,221.0
187,935,222.9
188,940,221.7
189,945,222.5
190,950,223.6
191,955,220.9
192,960,224.4
193,965,222.0
194,970,223.8
195,975,222.4
196,980,222.0
197,985,223.0
198,990,220.9
199,995,223.4
200,1000,221.8
201,1005,222.9
202,1010,223.7
203,1015,220.9
204,1020,223.8
205,1025,221.2
206,1030,222.4
207,1035,224.0
208,1040,220.8
209,1045,222.7
210,1050,223.1
211,1055,221.2
212,1060,223.8
213,1065,222.1
214,1070,224.4
215,1075,223.0
216,1080,221.7
217,1085,223.0
218,1090,220.1
219,1095,222.1
220,1100,221.5
221,1105,220.9
222,1110,220.3
223,1115,217.9
224,1120,220.9
225,1125,221.7
226,1130,220.9
227,1135,220.5
228,1140,217.5
229,1145,220.7
230,1150,220.9
231,1155,221.7
232,1160,221.8
233,1165,218.0
234,1170,220.4
235,1175,221.0
236,1180,220.7
237,1185,220.7
238,1190,218.3
239,1195,220.4
240,1200,220.7
241,1205,220.4
242,1210,220.2
243,1215,216.9
244,1220,220.7
245,1225,220.8
246,1230,220.5
247,1235,220.5
248,1240,218.9
249,1245,221.1
250,1250,221.3
251,1255,221.2
252,1260,220.9
253,1265,215.6
254,1270,220.1
255,1275,220.4
256,1280,220.5
257,1285,220.1
258,1290,216.6
259,1295,220.1
260,1300,220.7
261,1305,220.3
262,1310,220.4
263,1315,216.7
264,1320,220.2
265,1325,220.9
266,1330,220.7
267,1335,220.4
268,1340,217.1
269,1345,220.1
270,1350,221.1
271,1355,220.5
272,1360,220.4
273,1365,218.9
274,1370,219.9
275,1375,220.6
276,1380,220.6
277,1385,220.6
278,1390,219.0
279,1395,219.5
280,1400,220.7
281,1405,220.9
282,1410,220.8
283,1415,219.8
284,1420,218.4
285,1425,221.3
286,1430,222.0
287,1435,221.7
288,1440,221.6
289,1445,218.8
290,1450,220.1
291,1455,220.4
292,1460,220.7
293,1465,220.3
294,1470,218.3
295,1475,221.0
296,1480,221.2
297,1485,221.3
298,1490,221.0
299,1495,219.1
300,1500,220.4
301,1505,220.8
302,1510,220.9
303,1515,221.4
304,1520,220.2
305,1525,219.3
306,1530,220.8
307,1535,220.9
308,1540,220.8
309,1545,221.1
310,1550,217.2
311,1555,220.5
312,1560,221.0
313,1565,221.3
314,1570,220.8
315,1575,217.7
316,1580,220.9
317,1585,222.2
318,1590,222.4
319,1595,222.5
320,1600,219.6
321,1605,220.5
322,1610,221.5
323,1615,221.4
324,1620,221.3
325,1625,220.2
326,1630,219.0
327,1635,220.3
328,1640,220.8
329,1645,220.5
330,1650,220.6
331,1655,217.9
332,1660,220.9
333,1665,221.4
334,1670,221.1
335,1675,220.6
336,1680,217.8
337,1685,221.1
338,1690,221.5
339,1695,221.5
340,1700,221.4
341,1705,221.3
342,1710,217.8
343,1715,221.6
344,1720,221.9
345,1725,220.9
346,1730,221.4
347,1735,217.7
348,1740,220.8
349,1745,221.9
350,1750,221.6
351,1755,221.3
352,1760,218.1
353,1765,221.2
354,1770,222.2
355,1775,222.3
356,1780,222.8
357,1785,221.6
358,1790,220.0
359,1795,221.8
360,1800,222.5
361,1805,221.7
362,1810,222.0
363,1815,219.0
364,1820,221.4
365,1825,221.8
366,1830,221.4
367,1835,222.1
368,1840,219.4
369,1845,222.6
370,1850,222.7
371,1855,221.6
372,1860,221.8
373,1865,221.3
374,1870,219.2
375,1875,221.1
376,1880,221.9
377,1885,221.2
378,1890,221.1
379,1895,218.0
380,1900,221.4
381,1905,221.8
382,1910,222.7
383,1915,222.8
384,1920,220.8
385,1925,220.7
386,1930,221.2
387,1935,221.4
388,1940,221.7
389,1945,221.2
390,1950,217.9
391,1955,221.4
392,1960,222.1
393,1965,221.6
394,1970,221.6
395,1975,221.2
396,1980,217.8
397,1985,221.5
398,1990,221.8
399,1995,221.5
400,2000,221.6
401,2005,217.9
402,2010,220.2
403,2015,220.5
404,2020,220.7
405,2025,220.5
406,2030,220.5
407,2035,217.5
408,2040,221.3
409,2045,221.7
410,2050,221.6
411,2055,221.5
412,2060,219.4
413,2065,221.6
414,2070,221.7
415,2075,221.3
416,2080,221.1
417,2085,221.0
418,2090,217.5
419,2095,221.1
420,2100,221.2
421,2105,220.6
422,2110,221.0
423,2115,218.3
424,2120,221.9
425,2125,222.5
426,2130,225.0
427,2135,225.8
428,2140,222.3
429,2145,223.7
430,2150,224.8
431,2155,224.9
432,2160,224.6
433,2165,223.2
434,2170,221.6
435,2175,225.0
436,2180,224.4
437,2185,222.2
438,2190,224.6
439,2195,220.5
440,2200,224.0
441,2205,224.7
442,2210,224.3
443,2215,224.3
444,2220,221.5
445,2225,224.5
446,2230,225.2
447,2235,225.2
448,2240,224.7
449,2245,224.9
450,2250,220.6
451,2255,224.9
452,2260,225.2
453,2265,224.7
454,2270,224.6
455,2275,220.7
456,2280,223.6
457,2285,225.2
458,2290,224.8
459,2295,224.8
460,2300,221.5
461,2305,224.2
462,2310,224.8
463,2315,226.0
464,2320,226.2
465,2325,226.6
466,2330,221.9
467,2335,224.7
468,2340,225.0
469,2345,225.0
470,2350,224.6
471,2355,221.1
472,2360,224.4
473,2365,225.5
474,2370,225.2
475,2375,225.3
476,2380,223.8
477,2385,221.1
478,2390,223.9
479,2395,224.5
480,2400,223.8
481,2405,224.0
482,2410,220.2
483,2415,224.6
484,2420,225.0
485,2425,224.7
486,2430,224.5
487,2435,223.3
488,2440,221.6
489,2445,224.9
490,2450,225.0
491,2455,224.6
492,2460,224.6
493,2465,220.0
494,2470,224.7
495,2475,224.7
496,2480,224.2
497,2485,224.6
498,2490,221.2
499,2495,224.2
500,2500,224.8
501,2505,224.9
502,2510,224.5
503,2515,222.0
504,2520,223.8
505,2525,225.2
506,2530,225.0
507,2535,225.1
508,2540,223.7
509,2545,222.0
510,2550,225.2
511,2555,225.8
512,2560,225.1
513,2565,225.2
514,2570,221.3
515,2575,224.1
516,2580,224.3
517,2585,224.3
518,2590,224.1
519,2595,220.8
520,2600,224.1
521,2605,225.3
522,2610,224.9
523,2615,224.7
524,2620,224.6
525,2625,221.6
526,2630,224.7
527,2635,225.2
528,2640,224.7
529,2645,224.7
530,2650,220.7
531,2655,224.5
532,2660,224.8
533,2665,224.6
534,2670,224.4
535,2675,221.1
536,2680,223.9
537,2685,224.9
538,2690,225.2
539,2695,224.8
540,2700,224.7
541,2705,221.3
542,2710,224.5
543,2715,226.3
544,2720,226.4
545,2725,226.4
546,2730,221.7
547,2735,224.2
548,2740,225.4
549,2745,225.3
550,2750,225.2
551,2755,224.0
552,2760,220.9
553,2765,224.3
554,2770,224.7
555,2775,224.3
556,2780,224.3
557,2785,221.2
558,2790,224.4
559,2795,225.2
560,2800,225.0
561,2805,224.7
562,2810,223.6
563,2815,222.1
564,2820,225.7
