,Time,hpm5
0,0,209.4
1,5,252.6
2,10,293.4
3,15,291.5
4,20,240.9
5,25,233.5
6,30,233.5
7,35,233.8
8,40,228.2
9,45,231.9
10,50,232.3
11,55,231.8
12,60,231.4
13,65,231.0
14,70,231.5
15,75,230.9
16,80,228.9
17,85,231.4
18,90,232.0
19,95,231.6
20,100,231.5
21,105,231.0
22,110,231.1
23,115,231.0
24,120,228.1
25,125,231.3
26,130,231.5
27,135,230.9
28,140,231.0
29,145,230.9
30,150,231.1
31,155,228.7
32,160,228.0
33,165,0
34,170,231.2
35,175,230.8
36,180,230.4
37,185,230.8
38,190,230.6
39,195,225.9
40,200,231.2
41,205,231.6
42,210,231.3
43,215,230.9
44,220,230.9
45,225,230.6
46,230,230.8
47,235,229.5
48,240,231.6
49,245,231.5
50,250,231.6
51,255,231.4
52,260,232.3
53,265,232.5
54,270,230.1
55,275,232.8
56,280,232.8
57,285,232.3
58,290,231.9
59,295,231.9
60,300,231.4
61,305,231.5
62,310,229.0
63,315,231.2
64,320,231.7
65,325,231.5
66,330,0
67,335,231.6
68,340,0
69,345,232.0
70,350,232.1
71,355,234.9
72,360,234.2
73,365,233.7
74,370,233.7
75,375,234.5
76,380,234.4
77,385,228.9
78,390,232.6
79,395,0
80,400,231.9
81,405,232.0
82,410,231.4
83,415,0
84,420,0
85,425,231.6
86,430,232.1
87,435,231.4
88,440,230.9
89,445,230.6
90,450,230.4
91,455,230.6
92,460,227.6
93,465,232.3
94,470,232.2
95,475,232.3
96,480,231.8
97,485,231.5
98,490,231.4
99,495,231.2
100,500,227.2
101,505,232.7
102,510,233.2
103,515,232.4
104,520,232.3
105,525,231.6
106,530,231.7
107,535,231.4
108,540,225.4
109,545,231.7
110,550,231.9
111,555,231.9
112,560,231.6
113,565,231.4
114,570,231.1
115,575,0
116,580,230.6
117,585,233.0
118,590,232.6
119,595,232.5
120,600,232.2
121,605,232.4
122,610,232.2
123,615,229.9
124,620,231.6
125,625,232.2
126,630,232.2
127,635,231.7
128,640,231.7
129,645,231.5
130,650,229.2
131,655,232.0
132,660,233.5
133,665,233.0
134,670,232.5
135,675,232.8
136,680,232.5
137,685,232.2
138,690,0
139,695,232.2
140,700,231.6
141,705,233.0
142,710,232.5
143,715,232.1
144,720,232.3
145,725,231.1
146,730,229.4
147,735,232.6
148,740,232.6
149,745,232.3
150,750,231.8
151,755,232.1
152,760,232.0
153,765,228.9
154,770,232.7
155,775,233.2
156,780,233.0
157,785,232.6
158,790,232.2
159,795,232.6
160,800,232.2
161,805,228.4
162,810,233.0
163,815,233.4
164,820,233.1
165,825,232.1
166,830,232.1
167,835,232.4
168,840,228.9
169,845,233.4
170,850,234.2
171,855,233.5
172,860,233.3
173,865,232.9
174,870,232.7
175,875,232.1
176,880,229.4
177,885,233.1
178,890,233.9
179,895,233.2
180,900,232.8
181,905,232.7
182,910,232.5
183,915,232.7
184,920,230.8
185,925,232.6
186,930,232.5
187,935,231.9
188,940,231.9
189,945,231.9
190,950,231.9
191,955,229.7
192,960,233.3
193,965,233.2
194,970,232.7
195,975,232.9
196,980,232.6
197,985,232.7
198,990,231.1
199,995,231.4
200,1000,233.4
201,1005,233.3
202,1010,232.9
203,1015,232.8
204,1020,232.5
205,1025,232.4
206,1030,228.8
207,1035,232.6
208,1040,232.9
209,1045,232.8
210,1050,232.5
211,1055,232.5
212,1060,232.5
213,1065,232.6
214,1070,232.6
215,1075,231.9
216,1080,233.1
217,1085,233.1
218,1090,232.8
219,1095,232.7
220,1100,232.9
221,1105,232.5
222,1110,230.2
223,1115,232.8
224,1120,232.7
225,1125,232.3
226,1130,232.3
227,1135,232.5
228,1140,232.4
229,1145,230.2
230,1150,233.4
231,1155,233.2
232,1160,233.4
233,1165,232.9
234,1170,232.7
235,1175,232.5
236,1180,232.6
237,1185,228.2
238,1190,233.5
239,1195,233.7
240,1200,233.3
241,1205,232.9
242,1210,233.4
243,1215,235.4
244,1220,230.3
245,1225,232.2
246,1230,233.7
247,1235,233.3
248,1240,232.4
249,1245,232.4
250,1250,232.7
251,1255,233.0
252,1260,230.2
253,1265,233.0
254,1270,233.4
255,1275,233.3
256,1280,233.1
257,1285,232.8
258,1290,233.0
259,1295,230.5
260,1300,232.1
261,1305,233.7
262,1310,233.1
263,1315,233.0
264,1320,233.0
265,1325,233.6
266,1330,232.9
267,1335,232.6
268,1340,231.3
269,1345,233.6
270,1350,233.5
271,1355,232.9
272,1360,233.0
273,1365,232.6
274,1370,230.4
275,1375,233.6
276,1380,233.8
277,1385,233.4
278,1390,233.3
279,1395,233.5
280,1400,233.1
281,1405,233.1
282,1410,230.1
283,1415,0
284,1420,233.4
285,1425,233.4
286,1430,232.7
287,1435,232.9
288,1440,233.2
289,1445,232.5
290,1450,229.1
291,1455,233.8
292,1460,0
293,1465,234.1
294,1470,234.0
295,1475,233.6
296,1480,233.4
297,1485,229.4
298,1490,233.6
299,1495,234.3
300,1500,233.9
301,1505,233.5
302,1510,233.4
303,1515,233.1
304,1520,233.1
305,1525,230.4
306,1530,232.9
307,1535,233.0
308,1540,232.8
309,1545,232.5
310,1550,232.0
311,1555,232.3
312,1560,232.5
313,1565,231.2
314,1570,233.7
315,1575,233.4
316,1580,233.5
317,1585,233.3
318,1590,233.0
319,1595,233.1
320,1600,231.2
321,1605,232.8
322,1610,233.9
323,1615,233.8
324,1620,233.8
325,1625,232.9
326,1630,233.2
327,1635,233.4
328,1640,230.6
329,1645,233.8
330,1650,233.7
331,1655,233.1
332,1660,233.4
333,1665,233.0
334,1670,233.1
335,1675,229.6
336,1680,234.4
337,1685,234.1
338,1690,233.8
339,1695,233.8
340,1700,233.7
341,1705,234.1
342,1710,233.7
343,1715,229.4
344,1720,234.1
345,1725,233.8
346,1730,234.1
347,1735,233.6
348,1740,233.6
349,1745,233.6
350,1750,233.2
351,1755,230.4
352,1760,235.3
353,1765,234.6
354,1770,233.9
355,1775,234.3
356,1780,233.7
357,1785,233.4
358,1790,230.9
359,1795,234.5
360,1800,235.0
361,1805,234.8
362,1810,234.4
363,1815,233.8
364,1820,233.7
365,1825,233.8
366,1830,230.8
367,1835,232.8
368,1840,233.5
369,1845,233.1
370,1850,233.1
371,1855,232.7
372,1860,233.3
373,1865,233.2
374,1870,230.4
375,1875,234.8
376,1880,234.2
377,1885,233.8
