,Time,hpm8
0,0,172.5
1,5,256.1
2,10,269.3
3,15,231.9
4,20,217.8
5,25,217.5
6,30,216.2
7,35,216.6
8,40,216.6
9,45,217.7
10,50,216.9
11,55,216.8
12,60,215.8
13,65,218.2
14,70,218.2
15,75,217.5
16,80,217.8
17,85,217.5
18,90,217.4
19,95,218.1
20,100,217.6
21,105,217.8
22,110,217.3
23,115,218.5
24,120,218.3
25,125,216.2
26,130,216.2
27,135,218.1
28,140,217.6
29,145,218.0
30,150,218.1
31,155,218.3
32,160,218.8
33,165,217.5
34,170,217.9
35,175,217.9
36,180,218.1
37,185,217.5
38,190,218.1
39,195,219.1
40,200,219.1
41,205,218.9
42,210,216.5
43,215,216.8
44,220,219.0
45,225,218.7
46,230,217.9
47,235,218.7
48,240,218.0
49,245,218.9
50,250,218.2
51,255,219.3
52,260,221.3
53,265,219.7
54,270,220.4
55,275,219.9
56,280,218.2
57,285,220.4
58,290,220.3
59,295,219.2
60,300,219.7
61,305,219.5
62,310,218.2
63,315,218.5
64,320,218.2
65,325,220.5
66,330,219.5
67,335,218.8
68,340,219.2
69,345,219.0
70,350,218.9
71,355,221.3
72,360,221.3
73,365,218.9
74,370,219.8
75,375,219.7
76,380,218.9
77,385,219.7
78,390,220.1
79,395,220.6
80,400,220.3
81,405,218.7
82,410,219.9
83,415,220.3
84,420,219.8
85,425,218.3
86,430,220.2
87,435,218.8
88,440,220.6
89,445,220.3
90,450,219.2
91,455,219.5
92,460,219.8
93,465,218.9
94,470,220.3
95,475,220.0
96,480,219.9
97,485,221.1
98,490,225.6
99,495,222.9
100,500,222.3
101,505,219.1
102,510,220.3
103,515,220.1
104,520,219.8
105,525,220.0
106,530,220.4
107,535,220.1
108,540,217.7
109,545,219.6
110,550,219.6
111,555,219.6
112,560,220.2
113,565,219.3
114,570,220.3
115,575,219.5
116,580,219.1
117,585,220.9
118,590,220.2
119,595,218.5
120,600,220.0
121,605,219.7
122,610,218.9
123,615,221.2
124,620,222.0
125,625,219.5
126,630,220.2
127,635,220.2
128,640,219.9
129,645,221.5
130,650,221.4
131,655,221.3
132,660,218.5
133,665,219.9
134,670,219.2
135,675,221.3
136,680,220.6
137,685,218.8
138,690,220.5
139,695,220.3
140,700,219.5
141,705,221.0
142,710,220.5
143,715,219.3
144,720,220.3
145,725,219.5
146,730,220.0
147,735,220.3
148,740,220.0
149,745,219.7
150,750,220.4
151,755,219.8
152,760,220.0
153,765,220.3
154,770,220.4
155,775,219.1
156,780,219.8
157,785,219.6
158,790,221.5
159,795,221.1
160,800,218.9
161,805,219.6
162,810,219.3
163,815,219.3
164,820,221.2
165,825,220.8
166,830,218.6
167,835,219.4
168,840,219.3
169,845,219.5
170,850,220.6
171,855,220.8
172,860,219.0
173,865,221.2
174,870,220.6
175,875,219.3
176,880,220.1
177,885,220.1
178,890,220.4
179,895,218.2
180,900,219.6
181,905,219.4
182,910,221.5
183,915,220.9
184,920,218.9
185,925,220.0
186,930,220.1
187,935,218.9
188,940,219.8
189,945,220.0
190,950,218.8
191,955,220.2
192,960,220.2
193,965,218.8
194,970,219.8
195,975,220.1
196,980,219.7
197,985,219.7
198,990,219.6
199,995,219.5
200,1000,220.6
201,1005,219.7
202,1010,218.7
203,1015,220.2
204,1020,219.7
205,1025,221.0
206,1030,220.5
207,1035,218.8
208,1040,219.9
209,1045,219.3
210,1050,218.2
211,1055,219.6
212,1060,220.0
213,1065,218.6
214,1070,220.3
215,1075,219.7
216,1080,219.0
217,1085,219.9
218,1090,220.1
219,1095,219.1
220,1100,220.4
221,1105,219.9
222,1110,219.1
223,1115,219.5
224,1120,219.7
225,1125,220.0
226,1130,216.6
227,1135,218.6
228,1140,218.2
229,1145,220.0
230,1150,219.8
231,1155,218.7
232,1160,219.3
233,1165,219.1
234,1170,218.8
235,1175,220.2
236,1180,219.3
237,1185,218.8
238,1190,219.8
239,1195,219.9
240,1200,218.3
241,1205,219.3
242,1210,219.2
243,1215,218.4
244,1220,219.6
245,1225,219.5
246,1230,218.6
247,1235,220.2
248,1240,219.6
249,1245,217.8
250,1250,219.3
251,1255,219.1
252,1260,219.5
253,1265,219.9
254,1270,218.2
255,1275,220.1
256,1280,220.6
257,1285,218.8
258,1290,219.8
259,1295,219.9
260,1300,217.9
261,1305,220.0
262,1310,219.4
263,1315,219.1
264,1320,220.0
265,1325,220.6
266,1330,220.4
267,1335,220.7
268,1340,219.3
269,1345,219.0
270,1350,220.0
271,1355,219.2
272,1360,219.4
273,1365,217.6
274,1370,219.1
275,1375,218.6
276,1380,221.2
277,1385,219.9
278,1390,218.2
279,1395,219.1
280,1400,219.1
281,1405,218.5
282,1410,220.0
283,1415,219.1
284,1420,217.9
285,1425,219.2
286,1430,219.2
287,1435,218.8
288,1440,220.2
289,1445,219.1
290,1450,218.1
291,1455,219.6
292,1460,219.6
293,1465,219.2
294,1470,219.1
295,1475,219.4
296,1480,217.3
297,1485,219.9
298,1490,219.3
299,1495,219.5
300,1500,220.2
301,1505,218.9
302,1510,219.2
303,1515,219.4
304,1520,217.8
305,1525,218.7
306,1530,219.6
307,1535,218.7
308,1540,218.7
309,1545,218.6
310,1550,218.5
311,1555,218.5
312,1560,218.5
313,1565,216.3
314,1570,219.6
315,1575,219.8
316,1580,219.6
317,1585,219.2
318,1590,219.4
319,1595,219.5
320,1600,219.5
321,1605,219.3
322,1610,216.9
323,1615,221.4
324,1620,220.7
325,1625,219.4
326,1630,219.1
327,1635,219.1
328,1640,219.0
329,1645,218.7
330,1650,218.6
331,1655,217.1
332,1660,219.5
333,1665,219.4
334,1670,218.9
335,1675,218.9
336,1680,218.7
337,1685,220.1
338,1690,220.2
339,1695,217.5
340,1700,218.6
341,1705,219.9
342,1710,219.1
343,1715,219.0
344,1720,218.6
345,1725,218.8
346,1730,218.9
347,1735,218.7
348,1740,216.2
349,1745,219.6
350,1750,219.4
351,1755,218.9
352,1760,218.7
353,1765,219.0
354,1770,218.9
355,1775,218.5
356,1780,218.3
357,1785,215.1
358,1790,219.3
359,1795,219.0
360,1800,218.9
361,1805,218.5
362,1810,218.6
363,1815,218.3
364,1820,218.3
365,1825,218.2
366,1830,215.1
367,1835,219.2
368,1840,219.8
369,1845,219.2
370,1850,219.7
371,1855,219.8
372,1860,220.1
373,1865,220.0
374,1870,220.4
375,1875,216.0
376,1880,218.9
377,1885,219.9
378,1890,220.0
379,1895,219.7
380,1900,220.0
381,1905,219.8
382,1910,220.2
383,1915,217.0
384,1920,218.9
385,1925,219.2
386,1930,218.8
387,1935,218.2
388,1940,218.4
389,1945,218.1
390,1950,218.1
391,1955,218.3
392,1960,216.0
393,1965,219.2
394,1970,219.2
395,1975,218.7
396,1980,218.5
397,1985,218.6
398,1990,218.7
399,1995,218.4
400,2000,218.4
401,2005,214.7
402,2010,219.8
403,2015,219.8
404,2020,218.4
405,2025,218.7
406,2030,218.3
407,2035,218.2
408,2040,219.2
409,2045,219.6
410,2050,216.1
411,2055,219.9
412,2060,219.7
413,2065,218.7
414,2070,218.2
415,2075,218.4
416,2080,218.2
417,2085,218.4
418,2090,218.2
419,2095,216.0
420,2100,219.2
421,2105,219.0
422,2110,218.4
423,2115,218.4
424,2120,218.3
425,2125,218.1
426,2130,218.0
427,2135,218.4
428,2140,214.8
429,2145,218.4
430,2150,218.8
431,2155,218.8
432,2160,218.3
433,2165,218.3
434,2170,218.4
435,2175,218.2
436,2180,218.3
437,2185,216.6
438,2190,219.8
439,2195,220.2
440,2200,220.1
441,2205,220.3
442,2210,220.5
443,2215,220.9
444,2220,220.8
445,2225,220.9
446,2230,216.5
447,2235,218.2
448,2240,218.2
449,2245,217.9
450,2250,218.1
451,2255,218.0
452,2260,218.0
453,2265,217.6
454,2270,216.5
455,2275,216.6
456,2280,219.5
457,2285,218.4
458,2290,218.4
459,2295,218.3
460,2300,218.3
461,2305,218.0
462,2310,218.1
463,2315,214.9
464,2320,219.4
465,2325,219.1
466,2330,218.8
467,2335,218.9
468,2340,218.7
469,2345,218.1
470,2350,218.2
471,2355,218.2
472,2360,215.4
473,2365,218.8
474,2370,218.8
475,2375,218.0
476,2380,218.3
477,2385,218.1
478,2390,218.2
479,2395,217.8
480,2400,215.2
481,2405,218.9
482,2410,219.7
483,2415,219.1
484,2420,218.7
485,2425,218.7
486,2430,218.6
487,2435,218.2
488,2440,218.5
489,2445,214.6
490,2450,219.8
491,2455,218.7
492,2460,218.8
493,2465,218.6
494,2470,218.8
495,2475,218.6
496,2480,218.8
497,2485,218.3
498,2490,215.3
499,2495,218.6
500,2500,219.0
501,2505,219.1
502,2510,220.0
503,2515,220.1
504,2520,220.0
505,2525,219.9
506,2530,219.1
507,2535,217.8
508,2540,219.8
509,2545,220.0
510,2550,220.0
511,2555,220.7
512,2560,220.6
513,2565,220.5
514,2570,220.4
515,2575,216.6
516,2580,219.2
517,2585,219.0
518,2590,218.3
519,2595,218.3
520,2600,218.3
521,2605,218.3
522,2610,218.3
523,2615,216.5
524,2620,220.7
525,2625,220.0
526,2630,219.8
527,2635,220.2
528,2640,220.5
529,2645,220.5
530,2650,220.5
531,2655,220.5
532,2660,217.5
533,2665,219.8
534,2670,219.7
535,2675,219.5
536,2680,219.4
537,2685,219.5
538,2690,219.5
539,2695,219.4
540,2700,219.2
541,2705,218.4
542,2710,221.2
543,2715,220.9
544,2720,219.9
545,2725,219.3
546,2730,219.2
547,2735,219.1
548,2740,219.1
549,2745,216.0
550,2750,220.3
551,2755,220.3
552,2760,220.0
553,2765,220.4
554,2770,220.4
555,2775,220.5
556,2780,220.6
557,2785,220.6
558,2790,216.5
559,2795,219.3
560,2800,219.9
561,2805,219.0
562,2810,219.3
563,2815,219.2
564,2820,219.3
565,2825,218.9
566,2830,219.7
567,2835,216.8
568,2840,220.6
569,2845,220.8
570,2850,220.7
571,2855,220.7
572,2860,220.9
573,2865,221.0
574,2870,221.2
575,2875,218.0
576,2880,220.5
577,2885,221.7
578,2890,221.0
579,2895,220.8
580,2900,220.3
581,2905,219.9
582,2910,220.0
583,2915,219.6
584,2920,217.5
585,2925,219.8
586,2930,219.5
587,2935,219.2
588,2940,218.9
589,2945,219.0
590,2950,218.9
591,2955,219.0
592,2960,219.1
