,Time,hpm8
0,0,175.0
1,5,191.9
2,10,196.8
3,15,163.2
4,20,150.1
5,25,150.2
6,30,149.9
7,35,150.2
8,40,149.8
9,45,150.3
10,50,150.0
11,55,150.2
12,60,149.8
13,65,150.0
14,70,149.8
15,75,149.9
16,80,149.8
17,85,150.0
18,90,149.9
19,95,150.0
20,100,149.9
21,105,150.0
22,110,149.9
23,115,149.7
24,120,149.9
25,125,149.8
26,130,149.7
27,135,149.6
28,140,149.6
29,145,149.9
30,150,149.9
31,155,149.8
32,160,149.8
33,165,149.8
34,170,149.7
35,175,149.7
36,180,149.9
37,185,149.8
38,190,149.8
39,195,149.7
40,200,149.7
41,205,149.8
42,210,149.8
43,215,149.8
44,220,149.8
45,225,149.8
46,230,149.9
47,235,150.0
48,240,149.7
49,245,149.8
50,250,149.7
51,255,149.8
52,260,149.7
53,265,149.8
54,270,149.8
55,275,149.9
56,280,149.7
57,285,149.8
58,290,149.8
59,295,150.0
60,300,149.8
61,305,149.9
62,310,149.8
63,315,149.9
64,320,149.7
65,325,150.1
66,330,149.9
67,335,150.2
68,340,149.8
69,345,149.9
70,350,149.7
71,355,149.9
72,360,149.7
73,365,149.8
74,370,149.5
75,375,149.9
76,380,149.6
77,385,149.8
78,390,149.9
79,395,150.0
80,400,149.7
81,405,149.7
82,410,149.8
83,415,149.8
84,420,149.7
85,425,149.9
86,430,149.9
87,435,149.9
88,440,149.8
89,445,149.9
90,450,149.8
91,455,149.9
92,460,149.9
93,465,149.9
94,470,149.9
95,475,150.0
96,480,149.9
97,485,149.8
98,490,149.8
99,495,149.7
100,500,149.9
101,505,149.9
102,510,150.0
103,515,149.9
104,520,149.9
105,525,149.8
106,530,149.9
107,535,150.0
108,540,149.8
109,545,150.1
110,550,149.8
111,555,150.2
112,560,149.9
113,565,150.0
114,570,150.0
115,575,149.9
116,580,149.8
117,585,149.9
118,590,150.1
119,595,150.0
120,600,150.0
121,605,150.0
122,610,150.0
123,615,150.0
124,620,150.0
125,625,150.1
126,630,150.0
127,635,150.1
128,640,149.8
129,645,150.1
130,650,149.9
131,655,150.2
132,660,149.9
133,665,150.1
134,670,149.6
135,675,149.8
136,680,149.8
137,685,150.3
138,690,149.9
139,695,150.1
140,700,149.7
141,705,150.1
142,710,149.8
143,715,150.2
144,720,149.9
145,725,149.9
146,730,149.9
147,735,149.9
148,740,149.9
149,745,150.0
150,750,149.9
151,755,150.0
152,760,149.7
153,765,149.9
154,770,149.8
155,775,150.3
156,780,149.9
157,785,150.0
158,790,149.8
159,795,149.7
160,800,149.8
161,805,149.9
162,810,149.9
163,815,149.9
164,820,149.9
165,825,149.7
166,830,149.7
167,835,150.1
168,840,149.9
169,845,149.8
170,850,149.7
171,855,149.9
172,860,149.8
173,865,150.0
174,870,149.8
175,875,149.9
176,880,149.7
177,885,149.8
178,890,149.7
179,895,150.0
180,900,149.7
181,905,150.0
182,910,149.7
183,915,149.8
184,920,149.7
185,925,150.1
186,930,149.7
187,935,150.0
188,940,149.9
189,945,149.9
190,950,149.6
191,955,150.0
192,960,149.7
193,965,149.8
194,970,149.7
195,975,149.8
196,980,149.8
197,985,150.0
198,990,149.7
199,995,149.9
200,1000,149.6
201,1005,149.7
202,1010,149.7
203,1015,150.0
204,1020,149.7
205,1025,149.7
206,1030,149.8
207,1035,149.8
208,1040,149.8
209,1045,149.8
210,1050,149.7
211,1055,149.8
212,1060,149.7
213,1065,149.7
214,1070,149.7
215,1075,149.7
216,1080,149.8
217,1085,149.6
218,1090,149.7
219,1095,149.5
220,1100,149.6
221,1105,149.8
222,1110,149.8
223,1115,149.6
224,1120,149.6
225,1125,149.6
226,1130,149.7
227,1135,149.7
228,1140,149.8
229,1145,149.6
230,1150,149.6
231,1155,149.6
232,1160,149.5
233,1165,149.7
234,1170,149.6
235,1175,149.8
236,1180,149.5
237,1185,149.6
238,1190,149.5
239,1195,149.9
240,1200,149.6
241,1205,149.5
242,1210,149.6
243,1215,149.6
244,1220,149.5
245,1225,154.3
246,1230,149.7
247,1235,149.6
248,1240,149.6
249,1245,149.4
250,1250,149.5
251,1255,149.6
252,1260,149.6
253,1265,149.5
254,1270,149.5
255,1275,149.4
256,1280,149.5
257,1285,149.6
258,1290,149.5
259,1295,149.5
260,1300,149.6
261,1305,149.5
262,1310,149.5
263,1315,149.6
264,1320,149.6
265,1325,149.4
266,1330,149.6
267,1335,149.3
268,1340,149.4
269,1345,149.4
270,1350,149.6
271,1355,149.4
272,1360,149.9
273,1365,149.6
274,1370,149.7
275,1375,149.5
276,1380,149.4
277,1385,149.3
278,1390,149.4
279,1395,149.2
280,1400,149.4
281,1405,150.4
282,1410,149.5
283,1415,149.4
284,1420,149.4
285,1425,149.5
286,1430,149.4
287,1435,149.6
288,1440,149.4
289,1445,149.6
290,1450,149.2
291,1455,149.5
292,1460,149.4
293,1465,149.5
294,1470,149.4
295,1475,149.5
296,1480,149.3
297,1485,149.6
298,1490,149.2
299,1495,149.5
300,1500,149.3
301,1505,149.4
302,1510,149.2
303,1515,149.3
304,1520,149.1
305,1525,149.6
306,1530,149.3
307,1535,149.7
308,1540,149.2
309,1545,149.3
310,1550,149.3
311,1555,149.6
312,1560,149.3
313,1565,149.3
314,1570,149.4
315,1575,149.4
316,1580,149.3
317,1585,149.4
318,1590,149.4
319,1595,149.4
320,1600,149.1
321,1605,149.5
322,1610,149.1
323,1615,149.5
324,1620,149.3
325,1625,149.4
326,1630,149.0
327,1635,149.5
328,1640,149.1
329,1645,149.4
330,1650,149.3
331,1655,149.3
332,1660,149.1
333,1665,149.4
334,1670,149.1
335,1675,149.4
336,1680,149.2
337,1685,149.4
338,1690,149.2
339,1695,149.3
340,1700,149.1
341,1705,149.5
342,1710,149.4
343,1715,149.4
344,1720,149.3
345,1725,149.3
346,1730,149.2
347,1735,149.6
348,1740,149.3
349,1745,149.4
350,1750,149.2
351,1755,149.2
352,1760,149.1
353,1765,149.4
354,1770,149.4
355,1775,149.2
356,1780,149.2
357,1785,149.1
358,1790,149.2
359,1795,149.3
360,1800,149.3
361,1805,149.3
362,1810,149.2
363,1815,149.1
364,1820,149.1
365,1825,149.4
366,1830,149.4
367,1835,149.3
368,1840,149.3
369,1845,149.4
370,1850,149.1
371,1855,149.3
372,1860,149.3
373,1865,149.2
374,1870,149.2
375,1875,149.3
376,1880,149.3
377,1885,149.3
378,1890,149.1
379,1895,149.4
380,1900,149.1
381,1905,149.2
382,1910,149.1
383,1915,149.4
384,1920,149.2
385,1925,149.4
386,1930,149.0
387,1935,149.2
388,1940,149.0
389,1945,149.3
390,1950,149.2
391,1955,149.4
392,1960,149.1
393,1965,149.3
394,1970,149.1
395,1975,149.4
396,1980,149.0
397,1985,149.3
398,1990,149.0
399,1995,149.2
400,2000,149.0
401,2005,149.3
402,2010,149.2
403,2015,149.3
404,2020,148.9
405,2025,149.2
406,2030,148.9
407,2035,149.3
408,2040,148.9
409,2045,149.3
410,2050,148.9
411,2055,149.2
412,2060,148.9
413,2065,149.3
414,2070,149.1
415,2075,149.1
416,2080,149.1
417,2085,149.1
418,2090,149.0
419,2095,149.1
420,2100,149.2
421,2105,149.0
422,2110,149.2
423,2115,149.0
424,2120,149.0
425,2125,149.1
426,2130,149.2
427,2135,149.1
428,2140,149.2
429,2145,149.1
430,2150,149.1
431,2155,149.1
432,2160,149.1
433,2165,149.0
434,2170,149.0
435,2175,149.0
436,2180,149.0
437,2185,149.1
438,2190,149.3
439,2195,149.4
440,2200,149.0
441,2205,149.1
442,2210,149.0
443,2215,149.2
444,2220,148.9
445,2225,149.2
446,2230,148.9
447,2235,149.1
448,2240,148.9
449,2245,149.3
450,2250,149.0
451,2255,149.3
452,2260,148.9
453,2265,149.2
454,2270,148.9
455,2275,149.3
456,2280,148.9
457,2285,149.2
458,2290,148.8
459,2295,149.0
460,2300,148.8
461,2305,149.1
462,2310,148.9
463,2315,149.0
464,2320,149.1
465,2325,148.8
466,2330,149.0
467,2335,149.0
468,2340,149.0
469,2345,149.0
470,2350,149.0
471,2355,148.9
472,2360,149.1
473,2365,149.0
474,2370,149.1
475,2375,149.0
476,2380,149.1
477,2385,149.0
478,2390,149.0
479,2395,149.1
480,2400,149.2
481,2405,149.1
482,2410,149.1
483,2415,149.1
484,2420,149.2
485,2425,149.0
486,2430,149.3
487,2435,149.3
488,2440,149.0
489,2445,149.2
490,2450,149.0
491,2455,149.3
492,2460,149.0
493,2465,149.3
494,2470,149.0
495,2475,149.3
496,2480,149.0
497,2485,149.2
498,2490,149.1
499,2495,149.3
500,2500,149.1
501,2505,149.4
502,2510,149.3
503,2515,149.4
504,2520,149.2
505,2525,149.3
506,2530,149.1
507,2535,149.2
508,2540,149.2
509,2545,149.6
510,2550,149.2
511,2555,149.3
512,2560,149.2
513,2565,149.3
514,2570,149.2
515,2575,149.4
516,2580,149.3
517,2585,149.4
518,2590,149.1
519,2595,149.5
520,2600,149.2
521,2605,149.4
522,2610,149.5
523,2615,149.7
524,2620,149.5
525,2625,149.4
526,2630,149.5
527,2635,149.5
528,2640,149.5
529,2645,149.3
530,2650,149.4
531,2655,149.4
532,2660,149.4
533,2665,149.4
534,2670,149.5
535,2675,149.4
536,2680,149.4
537,2685,149.4
538,2690,149.5
539,2695,149.4
540,2700,149.5
541,2705,149.5
542,2710,149.5
543,2715,149.3
544,2720,149.5
545,2725,149.5
546,2730,149.5
547,2735,149.6
548,2740,149.3
549,2745,149.6
550,2750,149.4
551,2755,149.7
552,2760,149.4
553,2765,149.6
554,2770,149.4
555,2775,149.7
556,2780,149.4
557,2785,149.7
558,2790,149.4
559,2795,149.8
560,2800,149.2
