,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,360,7,7,log2,0.7582896300001564
1,360,7,7,sqrt,0.792046787942838
2,360,7,6,sqrt,0.7940351264988289
3,370,7,6,sqrt,0.7952633125683947
4,380,7,6,sqrt,0.7962573786197732
5,960,4,3,sqrt,0.8000745280858316
6,950,4,3,sqrt,0.8008423539285242
7,950,4,2,sqrt,0.8012981785247056
8,950,4,1,sqrt,0.8029843400963509
9,940,4,1,sqrt,0.8037476331953018
10,495,8,2,sqrt,0.8038287197566976
11,355,5,1,sqrt,0.8042834316854687
12,345,5,1,sqrt,0.8075859695524904
