,adaboost,bagging,cnn,gradient+AF8-boosting,linear+AF8-svm,logreg,mlp,random+AF8-forest,xgboost
1,0.7396,0.7121,0,0.7454,0.5852,0.5834,0.7328,0.7256,0.7285
5,0.7386,0.7294,0,0.7497,0.5732,0.5622,0.735,0.7502,0.7315
10,0.7508,0.7399,0.7215,0.7649,0.5668,0.5622,0.734,0.7663,0.7604
20,0.7508,0.7547,0.7259,0.7765,0.551,0.5662,0.713,0.7825,0.7674
30,0.7599,0.7662,0.7274,0.7807,0.5532,0.5839,0.6875,0.7951,0.777
40,0.7664,0.79,0.7171,0.7907,0.5445,0.5758,0.661,0.8191,0.8028
50,0.771,0.802,0.7347,0.8049,0.5328,0.5551,0.6467,0.8356,0.815
60,0.7715,0.8135,0.7326,0.8145,0.5482,0.541,0.6186,0.8454,0.8291
70,0.7892,0.825,0.7415,0.8251,0.537,0.5162,0.6007,0.8528,0.8392
80,0.7811,0.8353,0.7573,0.8263,0.5395,0.5212,0.5874,0.8671,0.8584
90,0.7811,0.8447,0.7598,0.8316,0.5247,0.5121,0.5631,0.8729,0.8635
100,0.7907,0.8465,0.7535,0.8377,0.5237,0.5086,0.5553,0.8757,0.868
110,0.7897,0.8545,0.7569,0.8354,0.5178,0.5025,0.5494,0.8853,0.8756
120,0.7922,0.8593,0.7456,0.8407,0.5176,0.499,0.5325,0.8881,0.867
130,0.7826,0.8591,0.7658,0.8418,0.5109,0.498,0.5292,0.8895,0.8817
140,0.7867,0.8599,0.7623,0.8392,0.5108,0.5061,0.523,0.8904,0.8862
150,0.7887,0.8603,0.7605,0.8458,0.5108,0.5066,0.5236,0.8897,0.8766
175,0.7887,0.8606,0.7644,0.8433,0.5161,0.501,0.5059,0.8907,0.8862
200,0.7887,0.8606,0.7691,0.8433,0.5108,0.504,0.5072,0.8896,0.8751
250,0.7887,0.8614,0.7578,0.8418,0.5018,0.5035,0.5037,0.8885,0.8817
