,adaboost,bagging,cnn,gradient+AF8-boosting,linear+AF8-svm,logreg,mlp,random+AF8-forest,xgboost
1,0,0.0081,0,0.0002,0.0005,0,0.003,0.0035,0
5,0,0.006,0,0,0.0019,0,0.0056,0.0037,0
10,0,0.0069,0.0051,0,0.0049,0,0.0095,0.0036,0
20,0,0.0042,0.0118,0,0.0132,0,0.0116,0.0047,0
30,0,0.0057,0.0082,0.0002,0.0097,0,0.0099,0.0027,0
40,0,0.0066,0.0239,0,0.0149,0,0.0081,0.003,0
50,0,0.0058,0.0116,0,0.0144,0,0.0139,0.0035,0
60,0,0.0056,0.0247,0,0.0153,0,0.0154,0.0031,0
70,0,0.0051,0.0200,0,0.0152,0,0.0151,0.0029,0
80,0,0.0031,0.0109,0.0002,0.0109,0,0.0107,0.0031,0
90,0,0.0046,0.0126,0,0.0122,0,0.0099,0.003,0
100,0,0.0042,0.0190,0.0002,0.0105,0,0.0165,0.0025,0
110,0,0.0038,0.0233,0.0002,0.0117,0,0.0141,0.0021,0
120,0,0.0034,0.0212,0,0.0143,0,0.0158,0.0019,0
130,0,0.0046,0.0116,0,0.0157,0,0.0084,0.0037,0
140,0,0.0039,0.0158,0,0.0104,0,0.0145,0.0013,0
150,0,0.0041,0.0139,0,0.0105,0,0.0153,0.0024,0
175,0,0.0039,0.0127,0,0.0113,0,0.0139,0.0032,0
200,0,0.004,0.0110,0,0.0079,0,0.0111,0.0011,0
250,0,0.0032,0.0134,0,0.005,0,0.0059,0.0035,0
