,adaboost,bagging,cnn,gradient+AF8-boosting,linear+AF8-svm,logreg,mlp,random+AF8-forest,xgboost
1,0.46,0.47,,1.64,0.68,0.02,13.14,2.59,0.78
5,1.55,2.15,,7.25,2.01,0.17,7.74,4.77,2.68
10,3.01,4.3,81.13,15.57,2.15,0.31,13.68,6.82,8.5
20,5.7,8.57,42.95,30.2,4.41,0.26,9.62,9.93,16.08
30,8.23,12.79,25.17,43.97,6.24,0.32,5.52,11.72,24.06
40,10.52,16.44,26.33,56.46,7.68,0.41,5.69,12.24,30.35
50,12.64,19.69,25.11,67.69,9.07,0.45,5.49,13.5,37.65
60,14.34,23.12,30.64,77.18,10.05,0.64,6.36,13.78,43.29
70,15.94,25.98,25.79,85.34,11.24,0.7,7.72,13.86,47.15
80,17.41,28.29,27.03,92.75,13.11,0.87,9.28,13.91,51.42
90,18.7,30.64,27.91,99.57,12.62,0.91,13.58,14.82,55.09
100,19.77,32.18,31.72,104.6,13.73,1.01,8.5,14.8,58.95
110,20.6,33.97,27.71,108.84,14.84,1.22,10.93,14.84,61.8
120,21.42,35.44,26.61,113.32,16,1.37,14,14.21,64.74
130,22.16,37.25,25.44,116.63,17.17,1.44,13.26,14.25,67.19
140,22.8,38.12,31.42,119.97,18.23,1.46,15.09,14.27,70.25
150,23.37,39.02,27.83,122.74,19.33,1.64,17.95,14.17,71.89
175,24.48,40.6,26.47,128.15,21.73,2,16.35,13.78,76.97
200,25.67,41.78,24.88,133.95,24.88,2.3,18.45,13.4,81.56
250,27.45,42.96,39.27,142.99,31.15,3,23.83,12.47,90.13
