,adaboost,bagging,cnn,gradient+AF8-boosting,linear+AF8-svm,logreg,mlp,random+AF8-forest,xgboost
1,0,0,0,0,0,0.02,0.96,0.01,0.12
5,0.02,0.02,0,0.03,0.02,0,2.71,0.02,0.02
10,0.01,0.04,12.1762525207203,0.04,0.05,0.1,7.8,0.03,0.3
20,0.01,0.07,21.260767466295,0.02,0.19,0.01,7.74,0.03,0.01
30,0.04,0.11,8.03201393288948,0.02,0.03,0.04,2.12,0.04,0.02
40,0.02,0.24,4.9507816168945,0.09,0.03,0.13,1.66,0.04,0.06
50,0.07,0.14,1.53427392969158,0.17,0.1,0.04,1.42,0.08,0.55
60,0.06,0.25,7.60946091409281,0.2,0.05,0.2,2.6,0.04,0.62
70,0.12,0.32,6.15671031424534,0.44,0.12,0.06,3.28,0.07,0.05
80,0.05,0.3,3.85264772957967,0.1,1.65,0.03,2.79,0.03,0.05
90,0.06,0.33,2.92411893444873,0.12,0.03,0.04,7.95,0.05,0.02
100,0.03,0.38,5.01498911513454,0.09,0.01,0.03,3.74,0.08,0.04
110,0.01,0.51,7.91219368303298,0.05,0.01,0.05,5.4,0.08,0.12
120,0.05,0.67,5.60228356020318,0.03,0.01,0.04,7.34,0.05,0.05
130,0.05,0.58,3.7980979542885,0.28,0.08,0.07,5.35,0.05,0.03
140,0.02,0.54,11.4826168078323,0.07,0.01,0.05,9.77,0.06,0.21
150,0.01,0.7,6.73112751835285,0.25,0.01,0.02,12.61,0.04,0.04
175,0.07,0.61,4.13033909651257,0.03,0.02,0.05,12.73,0.07,0.02
200,0.05,0.76,4.87201859292464,0.29,0.08,0.14,10.6,0.06,0.1
250,0.04,0.75,6.93588505483282,0.3,0.03,0.11,14.98,0.04,0.1
